,2016-08-19 11:31:57 -0400,,,2016-08-19 11:32:08 -0400
versión mejorada con menos consumo de memoria de comb,2016-08-20 22:02:49 -0400,2016-10-21 12:14:04 -0400,,2016-10-21 12:14:43 -0400
TODO.txt,2016-08-21 22:28:49 -0400,2016-10-21 12:14:08 -0400,,2016-10-21 12:14:52 -0400
foldl para traverse_perm,2016-08-25 21:45:38 -0400,2016-10-21 12:14:13 -0400,,2016-10-21 12:15:05 -0400
metaprogramar zip con n parámetros,2016-10-12 08:56:37 -0400,2016-10-21 12:13:40 -0400,,2016-12-05 08:11:30 -0400
metaprogramar un zip iterador para n ieteradores,2016-10-12 09:23:12 -0400,2016-10-21 12:13:35 -0400,,2016-12-05 08:11:37 -0400
zip ierator enumerado,2016-10-18 16:34:57 -0400,2016-10-21 12:13:31 -0400,,2016-12-05 08:11:45 -0400
iterator sobre permutations en ah-combH,2016-09-02 09:51:59 -0400,2016-10-21 12:13:48 -0400,,2016-12-05 08:12:01 -0400
Dry de inserción en contenedor con Args...,2016-12-22 12:56:17 -0400,2017-01-12 10:05:32 -0400,,2017-01-12 10:05:44 -0400
Dry de append en contenednor con args...,2016-12-22 13:19:35 -0400,2016-12-31 14:33:27 -0400,,2017-01-12 10:05:45 -0400
programar for_each(slice),2016-12-16 18:37:12 -0400,2016-12-31 14:33:40 -0400,,2017-01-12 10:07:26 -0400
método nremove(n) en ah-dry,2016-12-22 13:20:45 -0400,2016-12-31 14:33:20 -0400,,2017-01-12 10:07:28 -0400
Iteradores deben tener un miembro para saber si se está en el último,2016-08-19 18:49:28 -0400,2017-01-12 11:10:55 -0400,,2017-01-12 11:10:57 -0400
headers con las definciones necesarias; especial ah-dry.h,2016-08-19 18:50:39 -0400,2017-01-12 11:14:00 -0400,,2017-01-12 11:14:03 -0400
terminar std-utils,2016-08-23 13:33:10 -0400,,,2017-01-12 15:13:32 -0400
mutable for_each_perm,2016-10-21 12:13:22 -0400,,,2017-01-12 15:13:42 -0400
remove con move,2016-10-11 07:57:33 -0400,,,2017-01-12 15:13:46 -0400
t_zip sin construir la lista,2016-10-21 16:29:05 -0400,,,2017-01-12 15:14:49 -0400
get_last para árboles bnarios,2017-02-14 18:15:45 -0400,2017-02-16 18:14:29 -0400,,2017-02-16 18:14:33 -0400
probar t_zip y t_unzip; asegurar que funcionen,2017-02-22 16:29:15 -0400,2017-02-24 10:38:09 -0400,,2017-02-25 10:14:52 -0400
zip y unzip entre listas de listas,2017-02-22 15:56:54 -0400,2017-02-24 10:38:15 -0400,,2017-02-25 10:14:55 -0400
ctor de DynMap puede recibir una lista de pares key,data,2017-02-20 18:11:39 -0400,,2017-02-25 10:15:02 -0400
flatten,2016-12-26 16:38:18 -0400,,,2017-03-09 11:05:58 -0400
Programar dispatcher de funciones según string. odría servir para implementar pattern matching,2016-11-17 15:54:50 -0400,2017-02-24 10:38:27 -0400,,2017-03-09 11:06:07 -0400
zip_foldl,2017-04-03 16:46:08 -0400,2017-04-03 19:27:58 -0400,,2017-04-03 19:28:41 -0400
ah-str-utils: poner conversion de tupla a lista y viceversa,2017-03-28 16:01:42 -0400,2017-04-03 19:28:05 -0400,,2017-04-03 19:28:44 -0400
revisar en ah-zip get_curr_list,2017-03-16 13:52:22 -0400,2017-04-03 19:30:19 -0400,,2017-04-03 19:30:22 -0400
each_from,2017-04-07 11:41:14 -0400,,,2017-04-28 14:57:41 -0400
,,,,2017-06-25 16:12:05 -0400
programar join para contenedores de string,2017-06-24 10:07:27 -0400,2017-06-25 16:12:16 -0400,,2017-06-25 18:15:53 -0400
maps_if,2017-06-08 17:03:29 -0400,2017-06-25 16:12:13 -0400,,2017-06-25 18:15:55 -0400
implementar map_expand,2017-04-10 15:48:55 -0400,2017-07-02 12:45:29 -0400,,2017-07-02 12:45:32 -0400
programar join para contenedores de string,2017-06-24 10:07:27 -0400,2017-06-25 16:12:16 -0400,,2017-07-02 12:46:01 -0400
reverse de arreglos,2017-07-17 17:03:45 -0400,2017-08-05 12:56:20 -0400,,2017-08-05 13:16:49 -0400
,,,,2017-08-05 13:16:53 -0400
programar join para contenedores de string,2017-06-24 10:07:27 -0400,2017-06-25 16:12:16 -0400,,2017-08-05 13:55:32 -0400
flatten para listas del mismo tipo,2017-06-26 18:47:10 -0400,,,2017-08-05 13:55:34 -0400
flatten para listas del mismo tipo,2017-06-26 18:47:10 -0400,2017-07-02 12:43:53 -0400,,2017-08-05 13:55:49 -0400
maps_if,2017-06-08 17:03:29 -0400,2017-06-25 16:12:13 -0400,,2017-08-05 13:56:08 -0400
reverse de arreglos,2017-07-17 16:48:12 -0400,2017-08-05 13:55:21 -0400,,2017-08-06 10:36:42 -0400
cambiar int en odhash,2017-09-21 16:48:32 -0400,2017-09-22 11:14:50 -0400,,2017-09-23 19:46:42 -0400
auto ptr para tablas hash,2017-09-20 21:00:37 -0400,,,2017-09-24 12:03:52 -0400
revisar filter_itor,2018-05-03 09:16:33 -0400,2018-05-03 15:02:28 -0400,,2018-05-03 15:02:31 -0400
hacer más test para las tablas hash,2018-05-02 21:49:09 -0400,2018-05-03 15:02:49 -0400,,2018-05-04 15:52:18 -0400
revisar iteradores de tablas hash,2018-05-02 21:48:51 -0400,2018-05-04 15:52:25 -0400,,2018-05-04 15:52:27 -0400
marcar excepciones en funciones de ah-zip,2018-05-02 14:33:43 -0400,2018-05-04 16:03:54 -0400,,2018-05-04 16:03:58 -0400
Resto de operaciones funcionales para zip-it,2016-10-21 17:32:23 -0400,2018-05-04 16:04:13 -0400,,2018-05-04 16:04:15 -0400
